candidate_id,rank,score,reasoning
CAND_0064326,1,0.826588,"Search Engineer at Sarvam AI with 7.6yr experience; 7 JD-relevant skills: Weaviate, Python, scikit-learn, PyTorch, QLoRA. Concerns: high response rate (94%)."
CAND_0011687,2,0.824634,"Senior NLP Engineer at Niramai with 7.8yr experience; 8 JD-relevant skills: OpenSearch, Embeddings, Weaviate, PyTorch, FAISS. Concerns: high response rate (89%)."
CAND_0099806,3,0.802718,"AI Engineer at Mad Street Den with 4.6yr experience; 8 JD-relevant skills: Qdrant, FAISS, BM25, Weaviate, Embeddings. Concerns: high response rate (76%)."
CAND_0002025,4,0.792927,"Senior AI Engineer at Apple with 5.9yr experience; 11 JD-relevant skills: NLP, Recommendation Systems, Python, FAISS, Fine-tuning LLMs. Concerns: high response rate (80%); India (Trivandrum, Kerala), not willing to relocate."
CAND_0065195,5,0.779673,"Search Engineer at CRED with 5.1yr experience; 7 JD-relevant skills: Elasticsearch, QLoRA, Hugging Face Transformers, scikit-learn, Learning to Rank. Concerns: high response rate (80%)."
CAND_0081846,6,0.772490,"Lead AI Engineer at Razorpay with 6.7yr experience; 11 JD-relevant skills: Learning to Rank, Recommendation Systems, Information Retrieval, BM25, Vector Search. Concerns: high response rate (73%)."
CAND_0006567,7,0.768255,"Senior AI Engineer at Meta with 7.9yr experience; 7 JD-relevant skills: scikit-learn, Feature Engineering, Recommendation Systems, Ranking Systems, Python. Concerns: high response rate (79%)."
CAND_0036184,8,0.764052,"Recommendation Systems Engineer at CRED with 6.0yr experience; 9 JD-relevant skills: Hugging Face Transformers, Pinecone, QLoRA, PyTorch, Sentence Transformers. Concerns: high response rate (90%); India (Trivandrum, Kerala), not willing to relocate."
CAND_0093912,9,0.759320,"Senior Data Scientist at Razorpay with 5.3yr experience; 7 JD-relevant skills: Vector Search, Milvus, Elasticsearch, Recommendation Systems, Embeddings. Concerns: India (Chandigarh, Chandigarh), not willing to relocate."
CAND_0076163,10,0.752097,"NLP Engineer at Ola with 6.9yr experience; 8 JD-relevant skills: Python, Sentence Transformers, PyTorch, Elasticsearch, OpenSearch. Concerns: high response rate (84%); India (Chandigarh, Chandigarh), not willing to relocate."
CAND_0018549,11,0.745297,"Recommendation Systems Engineer at Uber with 6.8yr experience; 7 JD-relevant skills: scikit-learn, OpenSearch, Qdrant, Elasticsearch, Fine-tuning LLMs. Concerns: high response rate (73%)."
CAND_0051004,12,0.744959,"Senior Data Scientist at CRED with 4.7yr experience; 9 JD-relevant skills: Qdrant, LoRA, Fine-tuning LLMs, MLOps, PEFT. Positives: open to work; preferred location (Delhi, Delhi)."
CAND_0046525,13,0.739158,"Senior Machine Learning Engineer at Genpact AI with 6.1yr experience; 5 JD-relevant skills: Information Retrieval, Sentence Transformers, Elasticsearch, Qdrant, NLP. Concerns: high response rate (88%)."
CAND_0000031,14,0.734201,"Recommendation Systems Engineer at Swiggy with 6.0yr experience; 10 JD-relevant skills: Embeddings, Pinecone, scikit-learn, Feature Engineering, Hugging Face Transformers. Concerns: high response rate (91%)."
CAND_0018499,15,0.733562,"Senior Machine Learning Engineer at Zomato with 7.2yr experience; 10 JD-relevant skills: scikit-learn, QLoRA, Learning to Rank, Recommendation Systems, Embeddings. Concerns: prefers remote (JD is hybrid)."
CAND_0095528,16,0.730140,"Senior Data Scientist at Netflix with 5.3yr experience; 10 JD-relevant skills: Fine-tuning LLMs, PyTorch, Elasticsearch, OpenSearch, scikit-learn. Positives: open to work; production deployment evidence."
CAND_0027691,17,0.723633,"NLP Engineer at Haptik with 6.5yr experience; 9 JD-relevant skills: Recommendation Systems, Weaviate, LoRA, scikit-learn, PEFT. Concerns: inactive 88d (borderline)."
CAND_0054394,18,0.721664,"Recommendation Systems Engineer at PharmEasy with 4.1yr experience; 6 JD-relevant skills: Fine-tuning LLMs, scikit-learn, Hugging Face Transformers, Embeddings, Pinecone. Positives: open to work; preferred location (Pune, Maharashtra)."
CAND_0041669,19,0.719250,"Recommendation Systems Engineer at CRED with 8.0yr experience; 9 JD-relevant skills: MLflow, MLOps, PEFT, Information Retrieval, Milvus. Concerns: inactive 82d (borderline)."
CAND_0017960,20,0.716335,"Recommendation Systems Engineer at Nykaa with 7.7yr experience; 6 JD-relevant skills: QLoRA, Python, Hugging Face Transformers, Information Retrieval, Qdrant. Concerns: inactive 61d (borderline)."
CAND_0041610,21,0.714067,"Recommendation Systems Engineer at Zoho with 6.7yr experience; 10 JD-relevant skills: Recommendation Systems, OpenSearch, Learning to Rank, Elasticsearch, LoRA. Concerns: prefers remote (JD is hybrid)."
CAND_0011162,22,0.708662,"Recommendation Systems Engineer at upGrad with 5.8yr experience; 11 JD-relevant skills: LoRA, OpenSearch, Vector Search, FAISS, Pinecone. Concerns: notice period 90d; high response rate (75%)."
CAND_0088025,23,0.707186,"Staff Machine Learning Engineer at Yellow.ai with 8.6yr experience; 9 JD-relevant skills: Learning to Rank, NLP, BM25, Python, Elasticsearch. Concerns: notice period 90d; high response rate (83%)."
CAND_0068811,24,0.703366,"Applied ML Engineer at Freshworks with 8.0yr experience; 8 JD-relevant skills: OpenSearch, Qdrant, Pinecone, scikit-learn, Embeddings. Positives: open to work; production deployment evidence."
CAND_0014440,25,0.697635,"Recommendation Systems Engineer at CRED (6.4yr); 'Recommendation Systems Engineer' — strong AI/ML/Search title. Positives: open to work; good India location (Chennai, Tamil Nadu)."
CAND_0086022,26,0.696828,"Senior Applied Scientist at Sarvam AI with 5.3yr experience; 11 JD-relevant skills: Sentence Transformers, PyTorch, Pinecone, QLoRA, Recommendation Systems. Concerns: inactive 73d (borderline)."
CAND_0079387,27,0.696691,"AI Engineer at Microsoft with 6.9yr experience; 9 JD-relevant skills: scikit-learn, QLoRA, Sentence Transformers, Recommendation Systems, Vector Search. Concerns: inactive 63d (borderline); India (Trivandrum, Kerala), not willing to relocate."
CAND_0040887,28,0.693394,"Machine Learning Engineer at Netflix with 4.7yr experience; 7 JD-relevant skills: Recommendation Systems, Python, PEFT, FAISS, LoRA. Concerns: high response rate (84%); outside India (Canada)."
CAND_0061655,29,0.688307,"Machine Learning Engineer at Krutrim with 4.6yr experience; 8 JD-relevant skills: NLP, OpenSearch, Pinecone, Elasticsearch, PyTorch. Concerns: high response rate (88%)."
CAND_0077337,30,0.688032,"Staff Machine Learning Engineer at Paytm with 7.0yr experience; 10 JD-relevant skills: QLoRA, Recommendation Systems, Information Retrieval, Python, Sentence Transformers. Concerns: high response rate (95%)."
CAND_0033179,31,0.687196,"AI Research Engineer at Wipro with 6.9yr experience; 8 JD-relevant skills: Information Retrieval, Fine-tuning LLMs, OpenSearch, scikit-learn, Hugging Face Transformers. Concerns: high response rate (84%)."
CAND_0004402,32,0.682925,"AI Research Engineer at Yellow.ai with 6.0yr experience; 7 JD-relevant skills: PEFT, PyTorch, Learning to Rank, Sentence Transformers, Qdrant. Concerns: high response rate (83%)."
CAND_0050876,33,0.681232,"Applied ML Engineer at Freshworks with 6.0yr experience; 9 JD-relevant skills: Sentence Transformers, Qdrant, PyTorch, QLoRA, FAISS. Concerns: notice period 90d."
CAND_0077285,34,0.680494,"Recommendation Systems Engineer at Nykaa with 5.5yr experience; 9 JD-relevant skills: LoRA, Information Retrieval, Fine-tuning LLMs, Sentence Transformers, Embeddings. Positives: open to work; production deployment evidence."
CAND_0095619,35,0.678629,"NLP Engineer at Nykaa with 15.6yr experience; 13 JD-relevant skills: scikit-learn, Feature Engineering, Hugging Face Transformers, Sentence Transformers, MLflow. Concerns: inactive 72d (borderline)."
CAND_0062247,36,0.678412,"AI Engineer at Google with 7.3yr experience; 8 JD-relevant skills: Hugging Face Transformers, Vector Search, BM25, Learning to Rank, PEFT. Concerns: inactive 65d (borderline)."
CAND_0009024,37,0.677823,"Search Engineer at Google with 5.2yr experience; 9 JD-relevant skills: Recommendation Systems, OpenSearch, PEFT, LoRA, MLflow. Concerns: inactive 79d (borderline)."
CAND_0046064,38,0.676979,"Senior NLP Engineer at Salesforce with 8.9yr experience; 7 JD-relevant skills: BM25, Python, PEFT, Pinecone, Elasticsearch. Concerns: inactive 62d (borderline); India (Coimbatore, Tamil Nadu), not willing to relocate."
CAND_0053591,39,0.675102,"AI Engineer at Ola with 5.3yr experience; 6 JD-relevant skills: Sentence Transformers, OpenSearch, BM25, Qdrant, Embeddings. Concerns: high response rate (81%); outside India (Canada)."
CAND_0054123,40,0.673958,"Applied ML Engineer at Meta with 4.7yr experience; 6 JD-relevant skills: Fine-tuning LLMs, Qdrant, Weaviate, Hugging Face Transformers, Vector Search. Concerns: high response rate (87%)."
CAND_0070525,41,0.673170,"Senior Software Engineer (ML) at Mad Street Den with 5.4yr experience; 4 JD-relevant skills: Recommendation Systems, Python, Feature Engineering, Embeddings. Concerns: high response rate (93%)."
CAND_0044222,42,0.671170,"AI Engineer at PolicyBazaar with 7.7yr experience; 10 JD-relevant skills: OpenSearch, Feature Engineering, NLP, Fine-tuning LLMs, Qdrant. Concerns: India (Vizag, Andhra Pradesh), not willing to relocate."
CAND_0046132,43,0.670554,AI Research Engineer at Verloop.io (4.3yr); 'AI Research Engineer' — strong AI/ML/Search title. Concerns: high response rate (94%).
CAND_0078492,44,0.669518,"Recommendation Systems Engineer at Verloop.io with 5.1yr experience; 8 JD-relevant skills: scikit-learn, PEFT, Qdrant, FAISS, Elasticsearch. Concerns: inactive 87d (borderline)."
CAND_0067866,45,0.667879,"Senior Software Engineer (ML) at Tech Mahindra with 6.4yr experience; 6 JD-relevant skills: MLflow, Embeddings, Elasticsearch, LoRA, Qdrant. Concerns: high response rate (79%)."
CAND_0098846,46,0.666432,"AI Engineer at upGrad with 7.6yr experience; 6 JD-relevant skills: Recommendation Systems, PEFT, Qdrant, Hugging Face Transformers, QLoRA. Concerns: inactive 65d (borderline)."
CAND_0071974,47,0.665431,"Senior AI Engineer at Netflix with 7.8yr experience; 12 JD-relevant skills: BM25, Embeddings, Qdrant, Elasticsearch, Sentence Transformers. Concerns: inactive 72d (borderline); India (Vizag, Andhra Pradesh), not willing to relocate."
CAND_0064256,48,0.665176,"Junior ML Engineer at BYJU'S with 6.4yr experience; 6 JD-relevant skills: Hugging Face Transformers, Python, Embeddings, MLOps, PyTorch. Concerns: high response rate (86%)."
CAND_0068932,49,0.661667,ML Engineer at Krutrim (5.2yr); 'ML Engineer' — strong AI/ML/Search title. Concerns: high response rate (82%).
CAND_0029367,50,0.660584,"Senior Data Scientist at Rephrase.ai with 5.7yr experience; 9 JD-relevant skills: Recommendation Systems, Sentence Transformers, Pinecone, PyTorch, Vector Search. Concerns: notice period 90d; high response rate (77%)."
CAND_0052328,51,0.659914,"Recommendation Systems Engineer at Amazon with 6.5yr experience; 9 JD-relevant skills: Learning to Rank, Vector Search, OpenSearch, Sentence Transformers, Fine-tuning LLMs. Concerns: inactive 88d (borderline)."
CAND_0048558,52,0.656827,Data Scientist at Rephrase.ai (6.7yr); 'Data Scientist' — strong AI/ML/Search title. Concerns: high response rate (80%).
CAND_0055905,53,0.655958,"Senior Machine Learning Engineer at Flipkart with 8.1yr experience; 8 JD-relevant skills: Python, OpenSearch, Elasticsearch, Hugging Face Transformers, Fine-tuning LLMs. Concerns: high response rate (87%); outside India (UK)."
CAND_0076831,54,0.655441,"Search Engineer at Krutrim with 4.0yr experience; 7 JD-relevant skills: NLP, Milvus, PyTorch, BM25, Fine-tuning LLMs. Concerns: notice period 90d."
CAND_0015967,55,0.655145,Senior Software Engineer (ML) at Razorpay (5.4yr); 'Senior Software Engineer (ML)' — strong AI/ML/Search title. Positives: open to work; production deployment evidence.
CAND_0037566,56,0.652582,"Machine Learning Engineer at LinkedIn with 6.9yr experience; 7 JD-relevant skills: Pinecone, Elasticsearch, Feature Engineering, NLP, MLflow. Concerns: inactive 68d (borderline)."
CAND_0025640,57,0.649373,AI Research Engineer at HCL (5.6yr); 'AI Research Engineer' — strong AI/ML/Search title. Concerns: high response rate (87%).
CAND_0081852,58,0.648523,"Senior Data Scientist at Mad Street Den with 5.9yr experience; 5 JD-relevant skills: LoRA, Vector Search, Milvus, MLOps, Weaviate. Positives: open to work; preferred location (Delhi, Delhi)."
CAND_0072688,59,0.647266,"Data Scientist at Niramai with 6.9yr experience; 5 JD-relevant skills: Recommendation Systems, Qdrant, NLP, LoRA, Milvus. Concerns: high response rate (87%)."
CAND_0061257,60,0.646937,"Staff Machine Learning Engineer at LinkedIn with 8.0yr experience; 4 JD-relevant skills: Python, Information Retrieval Systems, Feature Engineering, PEFT. Concerns: inactive 72d (borderline)."
CAND_0043860,61,0.645930,Junior ML Engineer at Aganitha (6.1yr); 'Junior ML Engineer' — strong AI/ML/Search title. Concerns: high response rate (81%).
CAND_0024147,62,0.645612,"ML Engineer at Ola with 5.9yr experience; 6 JD-relevant skills: Feature Engineering, Qdrant, Learning to Rank, Recommendation Systems, OpenSearch. Concerns: inactive 85d (borderline)."
CAND_0043228,63,0.644540,"Applied ML Engineer at Zoho with 6.8yr experience; 7 JD-relevant skills: Hugging Face Transformers, Sentence Transformers, OpenSearch, Learning to Rank, NLP. Positives: not open to work; good India location (Chennai, Tamil Nadu)."
CAND_0042506,64,0.642430,"Search Engineer at Verloop.io with 4.2yr experience; 8 JD-relevant skills: NLP, Milvus, PEFT, FAISS, Information Retrieval. Concerns: prefers remote (JD is hybrid)."
CAND_0033445,65,0.642152,"ML Engineer at Vedantu with 6.8yr experience; 5 JD-relevant skills: BM25, Information Retrieval, Recommendation Systems, MLOps, Hugging Face Transformers. Concerns: high response rate (94%)."
CAND_0006418,66,0.641320,"Machine Learning Engineer at Verloop.io with 5.7yr experience; 7 JD-relevant skills: OpenSearch, Embeddings, Qdrant, MLflow, Elasticsearch. Concerns: inactive 88d (borderline)."
CAND_0083879,67,0.639263,"Machine Learning Engineer at Ola with 7.1yr experience; 6 JD-relevant skills: Hugging Face Transformers, Fine-tuning LLMs, Milvus, scikit-learn, Sentence Transformers. Concerns: inactive 71d (borderline)."
CAND_0078002,68,0.638801,"Machine Learning Engineer at Meta with 6.3yr experience; 5 JD-relevant skills: QLoRA, NLP, Hugging Face Transformers, scikit-learn, Weaviate. Concerns: inactive 67d (borderline); India (Coimbatore, Tamil Nadu), not willing to relocate."
CAND_0025882,69,0.636743,"Senior Software Engineer (ML) at Freshworks with 5.6yr experience; 7 JD-relevant skills: LoRA, MLflow, FAISS, Milvus, Vector Search. Concerns: high response rate (79%)."
CAND_0045250,70,0.636359,"Applied ML Engineer at Rephrase.ai with 6.6yr experience; 10 JD-relevant skills: NLP, Sentence Transformers, Vector Search, PEFT, Qdrant. Concerns: high response rate (74%)."
CAND_0045475,71,0.636149,"ML Engineer at Genpact AI with 4.9yr experience; 8 JD-relevant skills: QLoRA, Pinecone, FAISS, PyTorch, scikit-learn. Positives: open to work; preferred location (Delhi, Delhi)."
CAND_0005538,72,0.634903,"Senior AI Engineer at Adobe with 5.9yr experience; 6 JD-relevant skills: PyTorch, Information Retrieval Systems, Natural Language Processing, Python, QLoRA. Concerns: notice period 90d; high response rate (81%)."
CAND_0005260,73,0.634868,"Senior NLP Engineer at Netflix with 5.2yr experience; 8 JD-relevant skills: NLP, Python, LoRA, Embeddings, Hugging Face Transformers. Concerns: high response rate (86%)."
CAND_0069905,74,0.633348,"Applied ML Engineer at Sarvam AI with 6.6yr experience; 8 JD-relevant skills: LoRA, Learning to Rank, Python, Sentence Transformers, MLOps. Concerns: notice period 90d; inactive 67d (borderline)."
CAND_0013536,75,0.632152,"Applied ML Engineer at Haptik with 14.1yr experience; 10 JD-relevant skills: QLoRA, Embeddings, Milvus, FAISS, Elasticsearch. Concerns: notice period 90d; high response rate (87%)."
CAND_0030348,76,0.629836,"Machine Learning Engineer at BYJU'S with 4.5yr experience; 6 JD-relevant skills: Python, PyTorch, Vector Search, Embeddings, Elasticsearch. Concerns: inactive 89d (borderline)."
CAND_0051292,77,0.628782,"Applied ML Engineer at Freshworks with 5.2yr experience; 6 JD-relevant skills: NLP, Fine-tuning LLMs, Vector Search, Elasticsearch, PEFT. Concerns: inactive 76d (borderline); India (Trivandrum, Kerala), not willing to relocate."
CAND_0066999,78,0.628728,"Recommendation Systems Engineer at Microsoft with 5.9yr experience; 6 JD-relevant skills: BM25, FAISS, Pinecone, Information Retrieval, OpenSearch. Concerns: inactive 83d (borderline)."
CAND_0053695,79,0.628141,"Recommendation Systems Engineer at Meesho with 5.8yr experience; 5 JD-relevant skills: Recommendation Systems, Embeddings, Pinecone, MLOps, Sentence Transformers. Concerns: inactive 86d (borderline); India (Bhubaneswar, Odisha), not willing to relocate."
CAND_0096172,80,0.626768,"NLP Engineer at Krutrim with 5.2yr experience; 7 JD-relevant skills: OpenSearch, Qdrant, Elasticsearch, Fine-tuning LLMs, Python. Positives: not open to work; good India location (Chennai, Tamil Nadu)."
CAND_0049538,81,0.626138,"Applied ML Engineer at Saarthi.ai with 5.8yr experience; 11 JD-relevant skills: Milvus, Elasticsearch, OpenSearch, PyTorch, Recommendation Systems. Concerns: high response rate (72%)."
CAND_0084090,82,0.625459,"Junior ML Engineer at Ola with 3.9yr experience; 7 JD-relevant skills: Python, Qdrant, Feature Engineering, MLflow, QLoRA. Concerns: high response rate (74%)."
CAND_0050454,83,0.625450,"AI Engineer at Rephrase.ai with 6.8yr experience; 9 JD-relevant skills: scikit-learn, QLoRA, BM25, Fine-tuning LLMs, PyTorch. Concerns: inactive 61d (borderline)."
CAND_0091534,84,0.622999,AI Engineer at Flipkart (16.6yr); 'AI Engineer' — strong AI/ML/Search title. Concerns: high response rate (84%).
CAND_0017178,85,0.622997,"ML Engineer at Swiggy with 4.2yr experience; 5 JD-relevant skills: PEFT, QLoRA, MLOps, BM25, Information Retrieval. Concerns: high response rate (85%)."
CAND_0036437,86,0.621743,"Search Engineer at Rephrase.ai with 4.8yr experience; 8 JD-relevant skills: OpenSearch, Vector Search, Milvus, FAISS, Weaviate. Concerns: high response rate (87%)."
CAND_0015065,87,0.621223,AI Research Engineer at Flipkart (3.9yr); 'AI Research Engineer' — strong AI/ML/Search title. Concerns: notice period 90d; high response rate (84%).
CAND_0030468,88,0.621134,"Senior Applied Scientist at Swiggy with 5.4yr experience; 5 JD-relevant skills: Ranking Systems, OpenSearch, Information Retrieval Systems, Milvus, Recommendation Systems. Concerns: high response rate (78%)."
CAND_0049896,89,0.615449,"Search Engineer at Unacademy with 7.3yr experience; 7 JD-relevant skills: Information Retrieval, Fine-tuning LLMs, Vector Search, PyTorch, Sentence Transformers. Concerns: notice period 90d."
CAND_0075574,90,0.614246,"Machine Learning Engineer at Haptik with 5.7yr experience; 10 JD-relevant skills: scikit-learn, PyTorch, Weaviate, Qdrant, OpenSearch. Concerns: prefers remote (JD is hybrid)."
CAND_0049615,91,0.613425,"ML Engineer at Krutrim with 5.1yr experience; 6 JD-relevant skills: NLP, PEFT, QLoRA, Recommendation Systems, PyTorch. Concerns: low response rate (28%)."
CAND_0075439,92,0.611518,"Machine Learning Engineer at Flipkart with 4.3yr experience; 9 JD-relevant skills: Vector Search, Feature Engineering, LoRA, Information Retrieval, Learning to Rank. Concerns: India (Vizag, Andhra Pradesh), not willing to relocate."
CAND_0030031,93,0.609160,"AI Engineer at Microsoft with 5.7yr experience; 10 JD-relevant skills: scikit-learn, NLP, Vector Search, LoRA, Python. Concerns: high response rate (94%); India (Trivandrum, Kerala), not willing to relocate."
CAND_0075249,94,0.608279,"Applied ML Engineer at Zomato with 6.2yr experience; 7 JD-relevant skills: Pinecone, Milvus, BM25, Sentence Transformers, Fine-tuning LLMs. Concerns: inactive 79d (borderline)."
CAND_0073314,95,0.606814,Senior Software Engineer (ML) at Aganitha (5.2yr); 'Senior Software Engineer (ML)' — strong AI/ML/Search title. Concerns: high response rate (84%).
CAND_0018701,96,0.606730,"Junior ML Engineer at Krutrim with 6.0yr experience; 7 JD-relevant skills: MLflow, BM25, Information Retrieval, Elasticsearch, Feature Engineering. Concerns: inactive 70d (borderline)."
CAND_0073982,97,0.605732,"Data Scientist at Dream11 with 7.0yr experience; 7 JD-relevant skills: Sentence Transformers, Elasticsearch, FAISS, Fine-tuning LLMs, Qdrant. Positives: open to work; preferred location (Delhi, Delhi)."
CAND_0077498,98,0.604541,"Senior Software Engineer (ML) at Niramai with 5.4yr experience; 6 JD-relevant skills: BM25, MLflow, Milvus, Elasticsearch, Embeddings. Concerns: high response rate (89%)."
CAND_0098454,99,0.603061,AI Specialist at Meesho (6.6yr); neutral title 'AI Specialist'. Concerns: high response rate (87%).
CAND_0087364,100,0.602681,"Recommendation Systems Engineer at Glance with 4.9yr experience; 6 JD-relevant skills: Milvus, Pinecone, OpenSearch, Qdrant, Elasticsearch. Positives: not open to work; production deployment evidence."
